# imageDigitizer version 0.1.5
# file: chankillo_map.png
# rotation: 0
# x axis device: 0.145531780748912 0.783126481392956
# x axis user:   804200 804900
# y axis device: 0.404888590583806 0.604986354759611
# y axis user:   8941600 8941700
i,devicex,devicey,x,y,code
  1,     0.070,     0.796,              804117,          8.9418e+06,1
  2,     0.481,     0.760,              804568,         8.94178e+06,2
  3,     0.292,     0.901,              804361,         8.94185e+06,3
  4,     0.293,     0.880,              804362,         8.94184e+06,3
  5,     0.295,     0.859,              804364,         8.94183e+06,3
  6,     0.295,     0.836,              804364,         8.94182e+06,3
  7,     0.295,     0.813,              804364,          8.9418e+06,3
  8,     0.295,     0.792,              804364,         8.94179e+06,3
  9,     0.296,     0.771,              804365,         8.94178e+06,3
 10,     0.296,     0.748,              804365,         8.94177e+06,3
 11,     0.296,     0.727,              804365,         8.94176e+06,3
 12,     0.296,     0.704,              804365,         8.94175e+06,3
 13,     0.293,     0.682,              804362,         8.94174e+06,3
 14,     0.290,     0.661,              804358,         8.94173e+06,3
 15,     0.281,     0.643,              804348,         8.94172e+06,3
