# imageDigitizer: 0.1.6
# file:           chankillo_map.png
# rotation:       0
# xaxis$user0:    200
# xaxis$device0:  314.789532340562
# xaxis$slope:    0.508640417155702
# yaxis$user0:    600
# yaxis$device0:  587.41752179663
# yaxis$slope:    0.508640417155702
i,devicex,devicey,x,y,cex,pch,col
1,151.9694,1156.3440,117.2,889.4,2,2,"#B632C7"
2,1031.9735,1094.6706,564.8,858,2,25,"#B632C7"
3,630.7308,1300.1753,360.7,962.5,2,5,"#B632C7"
4,634.6074,1265.2857,362.7,944.8,2,5,"#B632C7"
5,634.6074,1238.1494,362.7,931,2,5,"#B632C7"
6,634.6074,1207.1365,362.7,915.2,2,5,"#B632C7"
7,638.4840,1176.1235,364.6,899.4,2,5,"#B632C7"
8,638.4840,1145.1106,364.6,883.7,2,5,"#B632C7"
9,638.4840,1106.3445,364.6,863.9,2,5,"#B632C7"
10,642.3607,1083.0848,366.6,852.1,2,5,"#B632C7"
11,638.4840,1052.0718,364.6,836.3,2,5,"#B632C7"
12,638.4840,1017.1823,364.6,818.6,2,5,"#B632C7"
13,636.5371,986.1693,363.7,802.8,2,5,"#B632C7"
14,624.9072,955.1564,357.7,787,2,5,"#B632C7"
15,609.4008,931.8967,349.9,775.2,2,5,"#B632C7"
